GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Hspa1b,119,2,169,0,0,9,2,0,2,48,117,9,0,0,2,18,1,34,15,17,8,0,8,0,8,5,0,20,15,5,242,149
Hspa1a,120,1,169,0,0,9,1,0,2,48,119,9,0,1,1,15,2,34,17,13,0,0,8,8,0,4,0,20,16,4,242,137
Hspb1,92,1,169,0,0,9,0,0,2,76,91,9,0,2,0,14,0,34,20,14,2,0,8,6,2,4,0,20,16,4,242,111
Atf3,65,2,169,0,0,9,0,0,2,102,63,9,0,2,0,11,1,34,22,10,5,0,8,3,5,0,0,20,20,0,242,78
Dnajb1,58,0,169,0,0,9,2,0,2,111,58,9,0,0,2,7,0,34,27,7,2,0,8,6,2,2,0,20,18,2,242,71
Hsph1,51,0,169,1,0,9,1,0,2,118,51,8,1,1,1,10,2,34,22,8,0,0,8,8,0,3,0,20,17,3,242,64
Bag3,47,0,169,0,0,9,0,0,2,122,47,9,0,2,0,4,2,34,28,2,0,0,8,8,0,2,0,20,18,2,242,51
Fos,48,8,169,0,0,9,0,0,2,113,40,9,0,2,0,11,0,34,23,11,0,0,8,8,0,0,0,20,20,0,242,51
Egr1,42,6,169,0,0,9,0,0,2,121,36,9,0,2,0,9,1,34,24,8,0,0,8,8,0,0,0,20,20,0,242,44
Hsp90aa1,29,1,169,0,1,9,2,0,2,139,28,8,-1,0,2,6,0,34,28,6,0,0,8,8,0,2,0,20,18,2,242,37
Hspb8,36,0,169,0,0,9,0,0,2,133,36,9,0,2,0,3,3,34,28,0,0,0,8,8,0,0,0,20,20,0,242,36
Best2,21,0,169,0,0,9,0,0,2,148,21,9,0,2,0,14,0,34,20,14,0,0,8,8,0,0,0,20,20,0,242,35
Dnaja4,38,0,169,0,0,9,1,0,2,131,38,9,0,1,1,1,5,34,28,-4,0,0,8,8,0,0,0,20,20,0,242,35
Xirp1,32,5,169,0,0,9,0,0,2,132,27,9,0,2,0,7,1,34,26,6,0,0,8,8,0,0,0,20,20,0,242,33
Hspa1l,37,1,169,0,0,9,0,0,2,131,36,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,2,0,20,18,2,242,32
Chac1,30,4,169,0,0,9,0,0,2,135,26,9,0,2,0,5,3,34,26,2,0,0,8,8,0,2,0,20,18,2,242,30
Jun,29,4,169,0,0,9,0,0,2,136,25,9,0,2,0,3,1,34,30,2,0,0,8,8,0,1,0,20,19,1,242,28
Egr2,34,7,169,0,0,9,0,0,2,128,27,9,0,2,0,4,2,34,28,2,1,0,8,7,1,0,2,20,18,-2,242,28
Clu,18,2,169,0,0,9,0,0,2,149,16,9,0,2,0,10,2,34,22,8,1,0,8,7,1,2,0,20,18,2,242,27
Acta1,22,3,169,0,0,9,0,0,2,144,19,9,0,2,0,7,1,34,26,6,4,0,8,4,4,0,2,20,18,-2,242,27
Dnaja1,23,0,169,0,1,9,1,0,2,146,23,8,-1,1,1,4,2,34,28,2,0,0,8,8,0,1,0,20,19,1,242,26
Ddit4,27,0,169,0,0,9,0,0,2,142,27,9,0,2,0,0,2,34,32,-2,1,0,8,7,1,0,0,20,20,0,242,26
Ly6g6c,28,10,169,0,0,9,0,0,2,131,18,9,0,2,0,8,2,34,24,6,2,0,8,6,2,0,0,20,20,0,242,26
Arc,21,10,169,0,0,9,2,0,2,138,11,9,0,0,2,6,1,34,27,5,5,0,8,3,5,0,0,20,20,0,242,23
Dedd2,16,0,169,0,0,9,1,0,2,153,16,9,0,1,1,5,2,34,27,3,0,0,8,8,0,2,0,20,18,2,242,22
Hspe1,19,0,169,0,0,9,0,0,2,150,19,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,22
Lman1l,16,1,169,0,0,9,0,0,2,152,15,9,0,2,0,8,0,34,26,8,0,0,8,8,0,0,2,20,18,-2,242,21
Iqcf1,17,9,169,0,1,9,0,0,2,143,8,8,-1,2,0,14,0,34,20,14,0,0,8,8,0,0,0,20,20,0,242,21
Dnajb4,21,0,169,0,0,9,1,0,2,148,21,9,0,1,1,2,4,34,28,-2,0,0,8,8,0,0,0,20,20,0,242,20
Serpinh1,15,2,169,0,0,9,1,0,2,152,13,9,0,1,1,6,1,34,27,5,0,0,8,8,0,0,0,20,20,0,242,19
Arl9,28,17,169,1,0,9,0,0,2,124,11,8,1,2,0,9,2,34,23,7,1,1,8,6,0,0,0,20,20,0,242,19
Nr4a3,20,4,169,0,0,9,0,0,2,145,16,9,0,2,0,4,1,34,29,3,0,0,8,8,0,0,0,20,20,0,242,19
Oxt,30,16,169,0,0,9,0,0,2,123,14,9,0,2,0,4,1,34,29,3,1,0,8,7,1,0,0,20,20,0,242,18
Ubc,12,0,169,0,0,9,0,0,2,157,12,9,0,2,0,4,0,34,30,4,0,0,8,8,0,2,0,20,18,2,242,18
Cd79a,20,3,169,0,0,9,0,0,2,146,17,9,0,2,0,1,1,34,32,0,1,0,8,7,1,0,0,20,20,0,242,18
Rrad,23,4,169,0,0,9,0,0,2,142,19,9,0,2,0,2,3,34,29,-1,0,0,8,8,0,0,0,20,20,0,242,18
Adora2a,19,3,169,0,0,9,0,0,2,147,16,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,17
Cryab,14,0,169,0,0,9,0,0,2,155,14,9,0,2,0,3,2,34,29,1,1,0,8,7,1,1,0,20,19,1,242,17
Socs3,18,4,169,0,0,9,0,0,2,147,14,9,0,2,0,2,2,34,30,0,2,0,8,6,2,1,0,20,19,1,242,17
Gadd45g,19,2,169,0,0,9,0,0,2,148,17,9,0,2,0,1,1,34,32,0,0,0,8,8,0,0,1,20,19,-1,242,16
Tex43,26,7,169,0,0,9,0,0,2,136,19,9,0,2,0,4,7,34,23,-3,0,0,8,8,0,0,0,20,20,0,242,16
H3c8,28,8,169,0,0,9,0,0,2,133,20,9,0,2,0,4,7,34,23,-3,0,0,8,8,0,1,2,20,17,-1,242,16
Myocos,16,6,169,0,0,9,0,0,2,147,10,9,0,2,0,6,0,34,28,6,0,0,8,8,0,0,0,20,20,0,242,16
Fermt3,16,2,169,0,0,9,0,0,2,151,14,9,0,2,0,4,4,34,26,0,1,0,8,7,1,0,0,20,20,0,242,15
Ccdc194,14,4,169,0,0,9,0,0,2,151,10,9,0,2,0,6,1,34,27,5,0,0,8,8,0,0,0,20,20,0,242,15
Noxred1,20,5,169,0,0,9,0,0,2,144,15,9,0,2,0,1,3,34,30,-2,1,0,8,7,1,0,0,20,20,0,242,14
Cldn6,8,4,169,0,0,9,0,0,2,157,4,9,0,2,0,10,0,34,24,10,0,0,8,8,0,0,0,20,20,0,242,14
Rasl11a,20,3,169,0,0,9,0,0,2,146,17,9,0,2,0,0,2,34,32,-2,1,0,8,7,1,0,2,20,18,-2,242,14
Iqca1l,14,4,169,0,0,9,0,0,2,151,10,9,0,2,0,4,0,34,30,4,0,0,8,8,0,0,0,20,20,0,242,14
Bst2,4,0,169,0,0,9,0,0,2,165,4,9,0,2,0,9,3,34,22,6,2,0,8,6,2,2,1,20,17,1,242,13
Fosb,14,5,169,0,0,9,0,0,2,150,9,9,0,2,0,5,3,34,26,2,2,0,8,6,2,0,0,20,20,0,242,13
Hspa4l,11,0,169,0,0,9,0,0,2,158,11,9,0,2,0,5,3,34,26,2,0,0,8,8,0,0,0,20,20,0,242,13
Pla2g12b,14,2,169,0,0,9,0,0,2,153,12,9,0,2,0,2,1,34,31,1,0,0,8,8,0,0,0,20,20,0,242,13
Selplg,11,8,169,0,0,9,0,0,2,150,3,9,0,2,0,11,2,34,21,9,0,0,8,8,0,0,0,20,20,0,242,12
Cxcr4,18,7,169,0,0,9,0,0,2,144,11,9,0,2,0,3,2,34,29,1,0,0,8,8,0,0,0,20,20,0,242,12
Hspd1,11,0,169,0,0,9,0,0,2,158,11,9,0,2,0,3,3,34,28,0,0,0,8,8,0,1,0,20,19,1,242,12
Card9,13,3,169,0,0,9,0,1,2,153,10,9,0,1,-1,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,12
Zfand2a,9,0,169,0,0,9,0,0,2,160,9,9,0,2,0,4,3,34,27,1,1,0,8,7,1,1,0,20,19,1,242,12
Fgf18,16,6,169,0,0,9,0,0,2,147,10,9,0,2,0,3,2,34,29,1,1,0,8,7,1,0,0,20,20,0,242,12
Guca1b,13,3,169,0,0,9,0,0,2,153,10,9,0,2,0,2,1,34,31,1,0,0,8,8,0,0,0,20,20,0,242,11
Gadd45b,10,0,169,0,0,9,1,0,2,159,10,9,0,1,1,0,3,34,31,-3,2,0,8,6,2,1,0,20,19,1,242,11
Slc5a3,12,1,169,0,0,9,0,0,2,156,11,9,0,2,0,3,3,34,28,0,0,0,8,8,0,0,0,20,20,0,242,11
Lrit3,9,0,169,0,0,9,0,0,2,160,9,9,0,2,0,2,0,34,32,2,0,0,8,8,0,0,0,20,20,0,242,11
Ppp1r15a,12,0,169,0,0,9,0,0,2,157,12,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,2,0,20,18,2,242,11
Pip5kl1,12,7,169,0,0,9,0,0,2,150,5,9,0,2,0,6,0,34,28,6,0,0,8,8,0,0,0,20,20,0,242,11
Rrh,15,4,169,0,0,9,0,0,2,150,11,9,0,2,0,1,1,34,32,0,0,0,8,8,0,0,0,20,20,0,242,11
Pde6g,15,7,169,0,0,9,0,0,2,147,8,9,0,2,0,2,0,34,32,2,1,0,8,7,1,0,0,20,20,0,242,11
Hspa8,9,0,169,0,0,9,0,0,2,160,9,9,0,2,0,4,4,34,26,0,0,0,8,8,0,2,0,20,18,2,242,11
Tex29,15,11,169,0,0,9,0,0,2,143,4,9,0,2,0,8,2,34,24,6,0,0,8,8,0,0,0,20,20,0,242,10
Abhd3,7,2,169,0,0,9,1,0,2,160,5,9,0,1,1,4,0,34,30,4,0,0,8,8,0,0,0,20,20,0,242,10
Hey1,3,0,169,0,0,9,0,0,2,166,3,9,0,2,0,5,0,34,29,5,2,0,8,6,2,0,0,20,20,0,242,10
Tmc4,12,0,169,0,0,9,0,0,2,157,12,9,0,2,0,2,3,34,29,-1,0,1,8,7,-1,0,0,20,20,0,242,10
Nrn1l,21,14,169,0,0,9,0,0,2,134,7,9,0,2,0,5,2,34,27,3,0,0,8,8,0,0,0,20,20,0,242,10
Uspl1,7,0,169,0,0,9,0,0,2,162,7,9,0,2,0,4,1,34,29,3,0,0,8,8,0,0,0,20,20,0,242,10
Prr18,13,5,169,0,0,9,0,0,2,151,8,9,0,2,0,2,0,34,32,2,0,0,8,8,0,0,0,20,20,0,242,10
Tent5a,10,0,169,0,0,9,0,0,2,159,10,9,0,2,0,1,1,34,32,0,0,0,8,8,0,0,0,20,20,0,242,10
Tigd5,0,8,169,0,0,9,0,0,2,161,-8,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,0,20,20,0,242,-13
Emilin1,2,8,169,0,0,9,0,0,2,159,-6,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,-13
Pigbos1,4,3,169,0,0,9,0,0,2,162,1,9,0,2,0,2,15,34,17,-13,0,0,8,8,0,0,1,20,19,-1,242,-13
Dnajc27,0,3,169,0,1,9,1,0,2,166,-3,8,-1,1,1,0,10,34,24,-10,0,0,8,8,0,0,0,20,20,0,242,-13
Hilpda,4,9,169,0,0,9,0,0,2,156,-5,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,1,20,19,-1,242,-13
Lfng,4,15,169,0,0,9,0,0,2,150,-11,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,0,0,20,20,0,242,-14
Tsku,3,10,169,0,0,9,0,0,2,156,-7,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-14
Mfsd2a,5,12,169,0,0,9,1,0,2,152,-7,9,0,1,1,0,5,34,29,-5,0,0,8,8,0,0,3,20,17,-3,242,-14
Gemin4,4,14,169,0,0,9,0,0,2,151,-10,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,3,0,20,17,3,242,-14
H2ac21,24,28,169,0,0,9,0,0,2,117,-4,9,0,2,0,0,9,34,25,-9,0,0,8,8,0,0,1,20,19,-1,242,-14
Mamstr,2,12,169,0,0,9,1,0,2,155,-10,9,0,1,1,0,3,34,31,-3,0,1,8,7,-1,0,1,20,19,-1,242,-14
Pheta2,1,9,169,0,0,9,0,0,2,159,-8,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,0,20,20,0,242,-14
Pym1,2,4,169,0,0,9,0,0,2,163,-2,9,0,2,0,0,14,34,20,-14,0,0,8,8,0,1,0,20,19,1,242,-15
Pinlyp,3,19,169,0,0,9,0,0,2,147,-16,9,0,2,0,4,3,34,27,1,0,0,8,8,0,0,0,20,20,0,242,-15
Fbxo5,1,7,169,0,0,9,0,0,2,161,-6,9,0,2,0,0,9,34,25,-9,0,0,8,8,0,0,1,20,19,-1,242,-16
Immp2l,5,18,169,0,0,9,0,0,2,146,-13,9,0,2,0,2,7,34,25,-5,1,0,8,7,1,2,1,20,17,1,242,-16
Ccnf,1,6,169,0,0,9,0,0,2,162,-5,9,0,2,0,0,9,34,25,-9,0,0,8,8,0,0,2,20,18,-2,242,-16
Prr22,4,14,169,0,0,9,0,0,2,151,-10,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,-17
Plk1,3,11,169,0,0,9,0,0,2,155,-8,9,0,2,0,0,9,34,25,-9,0,0,8,8,0,1,1,20,18,0,242,-17
Pif1,2,7,169,0,0,9,0,0,2,160,-5,9,0,2,0,0,10,34,24,-10,0,0,8,8,0,0,2,20,18,-2,242,-17
Igsf10,3,4,169,0,0,9,0,0,2,162,-1,9,0,2,0,0,16,34,18,-16,0,0,8,8,0,0,0,20,20,0,242,-17
Lipt2,6,10,169,0,0,9,0,0,2,153,-4,9,0,2,0,0,12,34,22,-12,0,1,8,7,-1,0,0,20,20,0,242,-17
Pet117,16,27,169,0,0,9,0,0,2,126,-11,9,0,2,0,3,11,34,20,-8,1,1,8,6,0,2,0,20,18,2,242,-17
Tex38,7,24,169,0,0,9,0,0,2,138,-17,9,0,2,0,0,1,34,33,-1,0,0,8,8,0,0,0,20,20,0,242,-18
Haspin,1,9,169,0,0,9,0,0,2,159,-8,9,0,2,0,0,10,34,24,-10,0,0,8,8,0,0,0,20,20,0,242,-18
Trmt5,3,12,169,0,0,9,0,1,2,154,-9,9,0,1,-1,0,8,34,26,-8,0,0,8,8,0,0,0,20,20,0,242,-18
Nanp,2,10,169,0,0,9,0,0,2,157,-8,9,0,2,0,1,11,34,22,-10,0,0,8,8,0,0,1,20,19,-1,242,-19
Evi2a,6,22,169,0,0,9,0,0,2,141,-16,9,0,2,0,1,3,34,30,-2,1,0,8,7,1,0,2,20,18,-2,242,-19
Gpr183,2,13,169,0,0,9,0,0,2,154,-11,9,0,2,0,0,8,34,26,-8,0,0,8,8,0,0,0,20,20,0,242,-19
Spag8,5,15,169,0,0,9,0,0,2,149,-10,9,0,2,0,0,10,34,24,-10,0,0,8,8,0,0,0,20,20,0,242,-20
Espl1,2,13,169,0,0,9,0,0,2,154,-11,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,2,20,18,-2,242,-20
Glce,3,6,169,0,0,9,0,0,2,160,-3,9,0,2,0,0,19,34,15,-19,1,0,8,7,1,0,1,20,19,-1,242,-22
Neil3,2,15,169,0,0,9,0,0,2,152,-13,9,0,2,0,0,9,34,25,-9,0,0,8,8,0,0,0,20,20,0,242,-22
Efna4,0,13,169,0,0,9,0,0,2,156,-13,9,0,2,0,0,9,34,25,-9,0,0,8,8,0,0,1,20,19,-1,242,-23
C1ql4,0,8,169,0,0,9,0,0,2,161,-8,9,0,2,0,0,16,34,18,-16,0,0,8,8,0,0,0,20,20,0,242,-24
Ssmem1,4,23,169,0,0,9,0,0,2,142,-19,9,0,2,0,0,8,34,26,-8,1,0,8,7,1,0,0,20,20,0,242,-26
Tmem89,6,25,169,0,0,9,0,0,2,138,-19,9,0,2,0,2,14,34,18,-12,0,0,8,8,0,0,0,20,20,0,242,-31
