,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
16355,Rmi2,66,45,8,2,36,19,8,2,242,140,178,226,238,30,26,0,0
11279,Mgam2-ps,5,4,0,0,3,1,0,0,242,234,237,242,242,2,3,0,0
13144,Olfr1387,9,2,0,0,13,5,0,0,242,220,235,242,242,-4,-3,0,0
11367,Mkx,54,26,8,6,52,33,8,1,242,136,183,226,235,2,-7,0,5
13061,Olfr13,21,12,0,0,28,14,0,0,242,193,216,242,242,-7,-2,0,0
11370,Mlec,38,21,3,2,50,26,3,1,242,154,195,236,239,-12,-5,0,1
13102,Olfr1341,29,9,1,0,26,11,1,0,242,187,222,240,242,3,-2,0,0
11447,Mogat1,34,31,7,3,57,42,7,3,242,151,169,228,236,-23,-11,0,0
13095,Olfr1335,5,5,0,0,2,2,0,0,242,235,235,242,242,3,3,0,0
1056,Alox12b,36,20,2,0,24,14,2,0,242,182,208,238,242,12,6,0,0
11454,Morc1,26,7,0,0,24,11,0,0,242,192,224,242,242,2,-4,0,0
13094,Olfr1333,6,2,0,0,10,8,0,0,242,226,232,242,242,-4,-6,0,0
13093,Olfr1331,3,0,0,0,10,5,0,0,242,229,237,242,242,-7,-5,0,0
16281,Rhox3f,6,2,0,0,2,1,0,0,242,234,239,242,242,4,1,0,0
13092,Olfr1330,2,2,0,0,7,6,0,0,242,233,234,242,242,-5,-4,0,0
16279,Rhox3c,6,5,1,0,15,10,1,0,242,221,227,240,242,-9,-5,0,0
13088,Olfr1326-ps1,2,0,0,0,2,0,0,0,242,238,242,242,242,0,0,0,0
13086,Olfr1324,11,4,0,0,12,2,0,0,242,219,236,242,242,-1,2,0,0
11471,Mov10,50,28,6,2,65,35,6,2,242,127,179,230,238,-15,-7,0,0
11472,Mov10l1,16,11,0,0,15,8,0,0,242,211,223,242,242,1,3,0,0
11473,Moxd1,33,17,2,0,28,16,2,1,242,181,209,238,241,5,1,0,-1
1043,Alkal1,18,17,4,2,23,22,4,0,242,201,203,234,240,-5,-5,0,2
13082,Olfr1320,2,1,0,0,1,1,0,0,242,239,240,242,242,1,0,0,0
13081,Olfr132,10,6,0,0,1,0,0,0,242,231,236,242,242,9,6,0,0
21443,Wnt9b,28,13,1,1,23,11,1,0,242,191,218,240,241,5,2,0,1
13073,Olfr1311,1,1,0,0,3,2,0,0,242,238,239,242,242,-2,-1,0,0
13069,Olfr1308,0,0,0,0,1,0,0,0,242,241,242,242,242,-1,0,0,0
13067,Olfr1306,1,1,0,0,0,0,0,0,242,241,241,242,242,1,1,0,0
21455,Wwc1,47,21,2,2,36,19,2,0,242,159,202,238,240,11,2,0,2
13066,Olfr1305,1,1,0,0,0,0,0,0,242,241,241,242,242,1,1,0,0
11507,Mpv17l2,46,24,7,3,47,20,7,3,242,149,198,228,236,-1,4,0,0
11508,Mpz,48,28,6,0,64,39,6,0,242,130,175,230,242,-16,-11,0,0
11512,Mr1,36,25,6,0,60,34,6,1,242,146,183,230,241,-24,-9,0,-1
16290,Rhox4f,12,11,1,0,4,4,1,0,242,226,227,240,242,8,7,0,0
1064,Alpk1,50,22,5,1,51,25,5,0,242,141,195,232,241,-1,-3,0,1
1066,Alpk3,42,23,2,0,32,16,2,0,242,168,203,238,242,10,7,0,0
1088,Amfr,38,23,4,2,35,14,4,2,242,169,205,234,238,3,9,0,0
13134,Olfr1377,5,3,0,0,3,1,0,0,242,234,238,242,242,2,2,0,0
16313,Rimbp2,37,21,3,1,40,27,3,1,242,165,194,236,240,-3,-6,0,0
13133,Olfr1375,2,2,1,0,5,5,1,1,242,235,235,240,241,-3,-3,0,-1
13129,Olfr137,44,19,5,0,37,23,5,3,242,161,200,232,239,7,-4,0,-3
13126,Olfr1367,3,3,0,0,0,0,0,0,242,239,239,242,242,3,3,0,0
11384,Mlx,51,28,4,3,31,15,4,0,242,160,199,234,239,20,13,0,3
1098,Amot,50,26,4,2,52,28,4,1,242,140,188,234,239,-2,-2,0,1
11392,Mmd,51,30,7,4,56,31,7,3,242,135,181,228,235,-5,-1,0,1
13124,Olfr1364,2,2,0,0,1,0,0,0,242,239,240,242,242,1,2,0,0
11396,Mmgt1,43,28,7,2,46,23,7,0,242,153,191,228,240,-3,5,0,2
16303,Ric3,26,15,1,0,34,18,1,1,242,182,209,240,241,-8,-3,0,-1
13123,Olfr1362,1,0,0,0,1,1,0,0,242,240,241,242,242,0,-1,0,0
11403,Mmp15,36,15,2,2,50,27,2,0,242,156,200,238,240,-14,-12,0,2
507,Abcg2,49,32,10,6,55,34,10,5,242,138,176,222,231,-6,-2,0,1
13121,Olfr1360,2,1,0,0,5,3,0,0,242,235,238,242,242,-3,-2,0,0
11410,Mmp20,11,1,0,0,11,7,0,0,242,220,234,242,242,0,-6,0,0
1084,Amelx,14,14,1,0,16,15,1,0,242,212,213,240,242,-2,-1,0,0
21774,Zfp335,53,23,2,2,39,14,2,1,242,150,205,238,239,14,9,0,1
13119,Olfr1359,1,0,0,0,0,0,0,0,242,241,242,242,242,1,0,0,0
13115,Olfr1355,4,1,0,0,3,0,0,0,242,235,241,242,242,1,1,0,0
1077,Ambn,11,7,0,0,12,8,0,0,242,219,227,242,242,-1,-1,0,0
13114,Olfr1354,3,2,0,0,1,1,0,0,242,238,239,242,242,2,1,0,0
13113,Olfr1353,6,5,0,0,3,3,0,0,242,233,234,242,242,3,2,0,0
1073,Alx4,43,21,0,0,30,14,0,0,242,169,207,242,242,13,7,0,0
13110,Olfr1350,7,6,1,1,4,4,1,0,242,231,232,240,241,3,2,0,1
13109,Olfr135,1,1,0,0,2,0,0,0,242,239,241,242,242,-1,1,0,0
16052,Rbm8a,56,22,6,2,28,15,6,3,242,158,205,230,237,28,7,0,-1
12931,Olfr1162,13,5,0,0,15,9,0,0,242,214,228,242,242,-2,-4,0,0
13197,Olfr1450,5,3,1,0,2,1,1,0,242,235,238,240,242,3,2,0,0
15823,Rab33b,63,38,4,2,43,19,4,0,242,136,185,234,240,20,19,0,2
21718,Zfp160,41,25,8,5,51,32,8,4,242,150,185,226,233,-10,-7,0,1
12317,Nkd1,46,24,3,1,52,37,3,1,242,144,181,236,240,-6,-13,0,0
15817,Rab2a,37,17,4,2,40,15,4,0,242,165,210,234,240,-3,2,0,2
12322,Nkpd1,59,30,5,0,53,30,5,3,242,130,182,232,239,6,0,0,-3
21605,Zbtb6,37,18,3,2,42,25,3,1,242,163,199,236,239,-5,-7,0,1
12723,Oas2,62,39,8,2,46,22,8,2,242,134,181,226,238,16,17,0,0
12722,Oas1h,25,18,1,0,19,14,1,1,242,198,210,240,241,6,4,0,-1
21613,Zc2hc1a,40,22,5,2,69,38,5,0,242,133,182,232,240,-29,-16,0,2
21716,Zfp148,46,20,3,2,42,23,3,0,242,154,199,236,240,4,-3,0,2
12347,Nlrc5,61,40,6,2,68,49,6,2,242,113,153,230,238,-7,-9,0,0
12715,Oas1a,58,40,8,2,47,25,8,2,242,137,177,226,238,11,15,0,0
15801,Rab17,38,23,5,3,55,36,5,2,242,149,183,232,237,-17,-13,0,1
12712,Oacyl,40,27,5,2,56,34,5,0,242,146,181,232,240,-16,-7,0,2
12356,Nlrp4b,5,4,0,0,5,1,0,0,242,232,237,242,242,0,3,0,0
12709,Nyap2,13,5,0,0,12,5,0,0,242,217,232,242,242,1,0,0,0
15797,Rab12,47,27,7,3,55,27,7,0,242,140,188,228,239,-8,0,0,3
21621,Zc3h12d,49,34,3,2,58,33,3,0,242,135,175,236,240,-9,1,0,2
12362,Nlrp9a,11,5,0,0,3,1,0,0,242,228,236,242,242,8,4,0,0
15612,Ptafr,57,34,7,0,64,42,7,2,242,121,166,228,240,-7,-8,0,-2
15794,Rab11fip3,42,25,4,2,59,29,4,1,242,141,188,234,239,-17,-4,0,1
12370,Nme2,51,32,5,3,35,24,5,2,242,156,186,232,237,16,8,0,1
704,Adam23,40,24,4,0,42,21,4,1,242,160,197,234,241,-2,3,0,-1
15788,R3hdml,21,13,2,0,29,23,2,1,242,192,206,238,241,-8,-10,0,-1
12702,Nxph1,20,15,0,0,22,9,0,0,242,200,218,242,242,-2,6,0,0
12385,Nms,9,8,3,1,12,9,3,0,242,221,225,236,241,-3,-1,0,1
699,Adam1b,52,31,9,4,32,22,9,6,242,158,189,224,232,20,9,0,-2
12390,Nmur2,12,4,0,0,5,3,0,0,242,225,235,242,242,7,1,0,0
12311,Nkain2,37,22,5,2,49,29,5,1,242,156,191,232,239,-12,-7,0,1
12737,Obox7,16,15,1,0,9,8,1,0,242,217,219,240,242,7,7,0,0
887,Agpat1,32,17,7,3,52,30,7,5,242,158,195,228,234,-20,-13,0,-2
15830,Rab39b,61,36,3,0,37,16,3,0,242,144,190,236,242,24,20,0,0
12226,Nexmif,22,13,1,0,22,9,1,0,242,198,220,240,242,0,4,0,0
12227,Nexn,53,27,10,1,64,42,10,4,242,125,173,222,237,-11,-15,0,-3
12231,Nfasc,19,8,1,0,27,11,1,0,242,196,223,240,242,-8,-3,0,0
12233,Nfatc1,59,37,2,0,48,24,2,0,242,135,181,238,242,11,13,0,0
12234,Nfatc2,46,25,3,0,55,29,3,3,242,141,188,236,239,-9,-4,0,-3
12796,Olfml3,52,31,6,2,58,30,6,0,242,132,181,230,240,-6,1,0,2
12795,Olfml2b,55,33,6,2,57,33,6,3,242,130,176,230,237,-2,0,0,-1
15856,Rab9,42,27,4,2,39,19,4,1,242,161,196,234,239,3,8,0,1
12792,Olfm5,7,4,0,0,9,5,0,0,242,226,233,242,242,-2,-1,0,0
15854,Rab8a,28,12,3,2,41,12,3,1,242,173,218,236,239,-13,0,0,1
12785,Oit3,61,32,2,1,41,19,2,0,242,140,191,238,241,20,13,0,1
12239,Nfe2l1,50,25,3,2,42,21,3,2,242,150,196,236,238,8,4,0,0
15853,Rab7b,48,35,8,3,80,44,8,4,242,114,163,226,235,-32,-9,0,-1
745,Adamtsl1,45,16,2,0,52,36,2,0,242,145,190,238,242,-7,-20,0,0
12772,Oga,30,14,3,2,51,27,3,1,242,161,201,236,239,-21,-13,0,1
12251,Nfkbid,78,43,7,2,46,23,7,2,242,118,176,228,238,32,20,0,0
12253,Nfkbil1,43,21,3,2,31,13,3,1,242,168,208,236,239,12,8,0,1
566,Acadvl,40,18,3,2,26,12,3,0,242,176,212,236,240,14,6,0,2
12760,Odc1,35,22,2,2,42,22,2,1,242,165,198,238,239,-7,0,0,1
12270,Ngrn,47,21,4,2,31,17,4,1,242,164,204,234,239,16,4,0,1
568,Acap1,40,21,4,2,56,30,4,1,242,146,191,234,239,-16,-9,0,1
12752,Ocrl,56,34,7,3,44,28,7,6,242,142,180,228,233,12,6,0,-3
12274,Nhlrc1,44,16,2,0,42,21,2,1,242,156,205,238,241,2,-5,0,-1
12739,Obp1a,3,2,0,0,2,2,0,0,242,237,238,242,242,1,0,0,0
12292,Ninj1,43,27,8,3,59,35,8,3,242,140,180,226,236,-16,-8,0,0
15832,Rab3b,55,39,9,5,48,28,9,4,242,139,175,224,233,7,11,0,1
21724,Zfp185,38,23,4,2,64,32,4,1,242,140,187,234,239,-26,-9,0,1
586,Acer2,48,28,2,1,65,32,2,1,242,129,182,238,240,-17,-4,0,0
12399,Noc4l,34,17,3,2,35,16,3,1,242,173,209,236,239,-1,1,0,1
12692,Nxf2,46,25,2,0,42,22,2,1,242,154,195,238,241,4,3,0,-1
21637,Zcchc12,49,24,1,0,33,9,1,1,242,160,209,240,241,16,15,0,-1
12501,Nr1d1,62,31,6,2,56,30,6,2,242,124,181,230,238,6,1,0,0
658,Actl7a,26,17,3,1,34,23,3,1,242,182,202,236,240,-8,-6,0,0
656,Actl6a,29,19,4,3,42,22,4,1,242,171,201,234,238,-13,-3,0,2
15643,Ptgfrn,42,23,3,1,49,26,3,0,242,151,193,236,241,-7,-3,0,1
655,Actl11,4,2,0,0,2,0,0,0,242,236,240,242,242,2,2,0,0
12515,Nr2f2,55,34,5,2,50,31,5,1,242,137,177,232,239,5,3,0,1
15644,Ptgir,63,31,4,0,59,34,4,2,242,120,177,234,240,4,-3,0,-2
12517,Nr3c1,44,22,4,2,53,30,4,2,242,145,190,234,238,-9,-8,0,0
12649,Nudt9,39,20,3,2,43,21,3,1,242,160,201,236,239,-4,-1,0,1
651,Acte1,31,20,1,0,15,12,1,0,242,196,210,240,242,16,8,0,0
649,Actbl2,19,10,0,0,24,4,0,0,242,199,228,242,242,-5,6,0,0
15724,Pus1,44,19,4,2,43,15,4,1,242,155,208,234,239,1,4,0,1
15707,Ptrh1,46,25,3,0,36,17,3,3,242,160,200,236,239,10,8,0,-3
15654,Pthlh,67,49,7,3,44,29,7,3,242,131,164,228,236,23,20,0,0
21675,Zdhhc8,51,28,3,2,54,27,3,1,242,137,187,236,239,-3,1,0,1
15701,Ptprr,44,18,3,1,44,19,3,2,242,154,205,236,239,0,-1,0,-1
12554,Nrsn2,31,20,1,0,19,14,1,0,242,192,208,240,242,12,6,0,0
634,Acsl3,35,17,5,2,66,37,5,2,242,141,188,232,238,-31,-20,0,0
15699,Ptpro,48,25,4,2,51,25,4,2,242,143,192,234,238,-3,0,0,0
15661,Ptn,57,33,4,0,49,33,4,2,242,136,176,234,240,8,0,0,-2
12612,Ntsr1,13,4,0,0,13,7,0,0,242,216,231,242,242,0,-3,0,0
612,Acot8,32,19,5,2,42,24,5,3,242,168,199,232,237,-10,-5,0,-1
15680,Ptpn3,46,28,10,3,60,33,10,2,242,136,181,222,237,-14,-5,0,1
21688,Zfc3h1,40,19,2,2,45,27,2,0,242,157,196,238,240,-5,-8,0,2
12592,Nt5e,47,34,11,5,56,36,11,3,242,139,172,220,234,-9,-2,0,2
12593,Nt5el,12,3,0,0,19,10,0,0,242,211,229,242,242,-7,-7,0,0
614,Acox1,52,27,3,2,37,14,3,0,242,153,201,236,240,15,13,0,2
661,Actn1,48,18,3,3,33,12,3,1,242,161,212,236,238,15,6,0,2
12497,Nqo1,57,36,9,2,65,41,9,4,242,120,165,224,236,-8,-5,0,-2
12496,Npy6r,13,5,1,0,22,10,1,1,242,207,227,240,241,-9,-5,0,-1
12456,Npc2,42,24,4,2,39,18,4,1,242,161,200,234,239,3,6,0,1
15771,Qprt,48,28,6,3,63,37,6,3,242,131,177,230,236,-15,-9,0,0
12690,Nwd2,22,12,0,0,32,19,0,0,242,188,211,242,242,-10,-7,0,0
15770,Qpctl,33,10,4,3,46,19,4,2,242,163,213,234,237,-13,-9,0,1
692,Adam11,26,9,1,0,69,32,1,1,242,147,201,240,241,-43,-23,0,-1
587,Acer3,46,24,5,2,56,29,5,1,242,140,189,232,239,-10,-5,0,1
12428,Nos1ap,42,27,4,1,52,30,4,0,242,148,185,234,241,-10,-3,0,1
12430,Nos3,33,9,1,0,40,24,1,0,242,169,209,240,242,-7,-15,0,0
12431,Nosip,30,13,6,3,57,25,6,3,242,155,204,230,236,-27,-12,0,0
21640,Zcchc17,43,23,2,2,41,25,2,1,242,158,194,238,239,2,-2,0,1
15627,Ptdss2,43,21,6,3,55,30,6,1,242,144,191,230,238,-12,-9,0,2
15759,Pygo2,44,17,3,3,41,25,3,0,242,157,200,236,239,3,-8,0,3
12453,Npbwr1,15,6,0,0,8,3,0,0,242,219,233,242,242,7,3,0,0
21652,Zdbf2,17,7,2,0,26,15,2,1,242,199,220,238,241,-9,-8,0,-1
600,Acod1,40,26,4,2,35,18,4,1,242,167,198,234,239,5,8,0,1
15636,Ptger3,48,25,4,3,46,25,4,2,242,148,192,234,237,2,0,0,1
674,Actrt1,4,3,0,0,4,1,0,0,242,234,238,242,242,0,2,0,0
21657,Zdhhc14,35,13,3,0,47,25,3,2,242,160,204,236,240,-12,-12,0,-2
15753,Pycr2,49,21,3,3,42,15,3,0,242,151,206,236,239,7,6,0,3
21662,Zdhhc19,20,18,4,2,34,25,4,4,242,188,199,234,236,-14,-7,0,-2
15747,Pxmp4,45,28,3,2,43,23,3,1,242,154,191,236,239,2,5,0,1
21667,Zdhhc23,33,14,3,0,43,28,3,0,242,166,200,236,242,-10,-14,0,0
15745,Pxk,26,13,2,2,54,27,2,1,242,162,202,238,239,-28,-14,0,1
21668,Zdhhc24,47,26,6,2,53,26,6,4,242,142,190,230,236,-6,0,0,-2
599,Aco2,30,24,4,2,42,19,4,2,242,170,199,234,238,-12,5,0,0
12492,Npy1r,59,32,4,0,47,27,4,2,242,136,183,234,240,12,5,0,-2
15640,Ptges3,69,31,4,3,25,12,4,2,242,148,199,234,237,44,19,0,1
12800,Olfr1002,2,2,0,0,0,0,0,0,242,240,240,242,242,2,2,0,0
12801,Olfr1006,1,1,0,0,0,0,0,0,242,241,241,242,242,1,1,0,0
12206,Nes,58,32,8,3,43,21,8,0,242,141,189,226,239,15,11,0,3
15971,Rasgrf2,32,16,0,0,25,11,0,0,242,185,215,242,242,7,5,0,0
12895,Olfr1121,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
11948,Myt1l,23,13,2,0,26,17,2,0,242,193,212,238,242,-3,-4,0,0
15559,Psma7,42,26,5,3,34,17,5,1,242,166,199,232,238,8,9,0,2
11961,Naa11,11,4,0,0,23,13,0,0,242,208,225,242,242,-12,-9,0,0
21744,Zfp267,57,33,5,0,43,25,5,3,242,142,184,232,239,14,8,0,-3
12889,Olfr1113,2,1,0,0,1,1,0,0,242,239,240,242,242,1,0,0,0
11967,Naa35,37,19,6,4,49,25,6,3,242,156,198,230,235,-12,-6,0,1
12888,Olfr1112,6,6,1,1,3,3,1,0,242,233,233,240,241,3,3,0,1
12887,Olfr1111,2,2,0,0,1,1,0,0,242,239,239,242,242,1,1,0,0
841,Adsl,42,26,6,3,43,22,6,2,242,157,194,230,237,-1,4,0,1
12886,Olfr1110,4,1,0,0,8,4,0,0,242,230,237,242,242,-4,-3,0,0
16007,Rbfa,41,19,6,2,43,18,6,2,242,158,205,230,238,-2,1,0,0
11982,Nacad,52,38,11,2,68,48,11,4,242,122,156,220,236,-16,-10,0,-2
12879,Olfr1102,1,1,0,0,2,1,0,0,242,239,240,242,242,-1,0,0,0
12878,Olfr1101,0,0,0,0,2,0,0,0,242,240,242,242,242,-2,0,0,0
12004,Nanos2,36,26,2,1,34,26,2,1,242,172,190,238,240,2,0,0,0
15995,Rax,27,19,4,2,28,20,4,1,242,187,203,234,239,-1,-1,0,1
15994,Raver2,43,30,3,0,40,20,3,1,242,159,192,236,241,3,10,0,-1
12877,Olfr1100,10,3,0,0,9,4,0,0,242,223,235,242,242,1,-1,0,0
12876,Olfr110,18,11,1,1,11,8,1,1,242,213,223,240,240,7,3,0,0
12872,Olfr1097,7,3,0,0,6,0,0,0,242,229,239,242,242,1,3,0,0
12038,Natd1,47,24,4,2,50,30,4,0,242,145,188,234,240,-3,-6,0,2
15974,Rasgrp3,56,36,8,2,63,31,8,1,242,123,175,226,239,-7,5,0,1
12871,Olfr1096,1,1,0,0,0,0,0,0,242,241,241,242,242,1,1,0,0
12046,Nbea,31,13,2,1,45,17,2,0,242,166,212,238,241,-14,-4,0,1
12870,Olfr1095,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
12868,Olfr1093,3,2,0,0,2,2,0,0,242,237,238,242,242,1,0,0,0
12897,Olfr1123,27,8,0,0,22,9,0,0,242,193,225,242,242,5,-1,0,0
12899,Olfr1126,2,2,0,0,1,0,0,0,242,239,240,242,242,1,2,0,0
11937,Myot,24,11,1,1,28,17,1,0,242,190,214,240,241,-4,-6,0,1
12909,Olfr1136,2,2,0,0,0,0,0,0,242,240,240,242,242,2,2,0,0
16048,Rbm4b,42,17,5,4,47,22,5,1,242,153,203,232,237,-5,-5,0,3
12927,Olfr1158,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
12924,Olfr1155,1,0,0,0,1,1,0,0,242,240,241,242,242,0,-1,0,0
12922,Olfr1153,1,1,0,0,6,5,0,0,242,235,236,242,242,-5,-4,0,0
12920,Olfr1151,4,4,1,1,3,2,1,0,242,235,236,240,241,1,2,0,1
536,Abi3bp,55,40,6,1,46,27,6,2,242,141,175,230,239,9,13,0,-1
11874,Myh2,17,7,1,0,19,8,1,0,242,206,227,240,242,-2,-1,0,0
12916,Olfr1145,0,0,0,0,1,1,0,0,242,241,241,242,242,-1,-1,0,0
12915,Olfr1143,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
12914,Olfr1141,1,1,0,0,4,4,0,0,242,237,237,242,242,-3,-3,0,0
11885,Myl12b,47,29,7,5,41,24,7,3,242,154,189,228,234,6,5,0,2
12913,Olfr1140,2,2,0,0,4,4,0,0,242,236,236,242,242,-2,-2,0,0
11887,Myl3,42,33,10,2,40,31,10,3,242,160,178,222,237,2,2,0,-1
12900,Olfr1128,3,2,0,0,5,5,0,0,242,234,235,242,242,-2,-3,0,0
12907,Olfr1134,0,0,0,0,1,1,0,0,242,241,241,242,242,-1,-1,0,0
12906,Olfr1133,1,1,0,0,2,2,0,0,242,239,239,242,242,-1,-1,0,0
11899,Mymk,22,18,3,0,26,21,3,0,242,194,203,236,242,-4,-3,0,0
16037,Rbm38,69,41,8,2,38,29,8,2,242,135,172,226,238,31,12,0,0
869,Agap3,48,24,4,2,41,21,4,1,242,153,197,234,239,7,3,0,1
867,Agap1,49,21,3,3,44,19,3,0,242,149,202,236,239,5,2,0,3
865,Aftph,27,12,3,2,57,22,3,0,242,158,208,236,240,-30,-10,0,2
11921,Myo5c,45,23,5,0,42,26,5,2,242,155,193,232,240,3,-3,0,-2
21543,Ypel1,53,34,8,0,66,44,8,0,242,123,164,226,242,-13,-10,0,0
858,Aff4,36,19,4,2,58,38,4,0,242,148,185,234,240,-22,-19,0,2
21745,Zfp268,50,26,5,1,62,29,5,2,242,130,187,232,239,-12,-3,0,-1
11933,Myom1,66,34,6,0,41,26,6,2,242,135,182,230,240,25,8,0,-2
15562,Psmb10,48,23,5,2,41,23,5,2,242,153,196,232,238,7,0,0,0
12865,Olfr1089,1,1,0,0,0,0,0,0,242,241,241,242,242,1,1,0,0
12802,Olfr1008,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
805,Adh4,26,23,7,1,34,27,7,2,242,182,192,228,239,-8,-4,0,-1
12829,Olfr1038-ps,0,0,0,0,1,1,0,0,242,241,241,242,242,-1,-1,0,0
15908,Ralb,57,33,6,2,47,17,6,2,242,138,192,230,238,10,16,0,0
15906,Rai2,26,11,1,0,26,14,1,0,242,190,217,240,242,0,-3,0,0
15904,Rai1,37,21,4,1,55,35,4,0,242,150,186,234,241,-18,-14,0,1
12827,Olfr1036,3,1,0,0,2,0,0,0,242,237,241,242,242,1,1,0,0
12156,Ndufv1,27,11,3,2,41,20,3,2,242,174,211,236,238,-14,-9,0,0
12824,Olfr1032,4,4,0,0,2,2,0,0,242,236,236,242,242,2,2,0,0
12822,Olfr1030,5,4,0,0,4,0,0,0,242,233,238,242,242,1,4,0,0
12160,Nebl,54,25,3,0,52,23,3,0,242,136,194,236,242,2,2,0,0
15897,Radx,26,13,1,0,37,19,1,0,242,179,210,240,242,-11,-6,0,0
21735,Zfp236,49,22,3,2,50,25,3,1,242,143,195,236,239,-1,-3,0,1
12172,Nedd4l,49,29,5,2,42,18,5,1,242,151,195,232,239,7,11,0,1
12176,Nefl,23,7,0,0,28,13,0,0,242,191,222,242,242,-5,-6,0,0
12817,Olfr1025-ps1,1,1,0,0,3,3,0,0,242,238,238,242,242,-2,-2,0,0
12816,Olfr1024,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
12182,Nek1,37,15,2,1,51,25,2,0,242,154,202,238,241,-14,-10,0,1
15886,Rad51ap2,38,21,3,0,26,17,3,1,242,178,204,236,241,12,4,0,-1
15884,Rad51,51,23,3,0,62,39,3,2,242,129,180,236,240,-11,-16,0,-2
12814,Olfr1022,1,1,0,0,4,4,0,0,242,237,237,242,242,-3,-3,0,0
15880,Rad21l,33,25,0,0,19,9,0,0,242,190,208,242,242,14,16,0,0
12813,Olfr1020,18,7,1,1,32,13,1,0,242,192,222,240,241,-14,-6,0,1
12198,Nell2,42,21,2,2,35,20,2,0,242,165,201,238,240,7,1,0,2
12810,Olfr1018,7,3,0,0,0,0,0,0,242,235,239,242,242,7,3,0,0
759,Adck2,37,17,4,2,58,30,4,1,242,147,195,234,239,-21,-13,0,1
12203,Neo1,39,25,4,2,53,21,4,1,242,150,196,234,239,-14,4,0,1
12808,Olfr1015,4,3,0,0,4,1,0,0,242,234,238,242,242,0,2,0,0
12204,Nepn,41,27,6,4,48,29,6,3,242,153,186,230,235,-7,-2,0,1
15910,Ralgapa1,30,14,2,2,49,23,2,1,242,163,205,238,239,-19,-9,0,1
12832,Olfr1040,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
12835,Olfr1044,26,13,3,2,21,8,3,0,242,195,221,236,240,5,5,0,2
21570,Zbed5,57,38,6,3,55,36,6,2,242,130,168,230,237,2,2,0,1
803,Adgrv1,35,20,3,0,52,36,3,1,242,155,186,236,241,-17,-16,0,-1
799,Adgrl1,44,24,5,1,67,34,5,1,242,131,184,232,240,-23,-10,0,0
12073,Nckap1,37,20,6,2,55,26,6,2,242,150,196,230,238,-18,-6,0,0
15957,Rasa1,26,16,5,2,63,29,5,1,242,153,197,232,239,-37,-13,0,1
12863,Olfr1086,1,1,0,0,0,0,0,0,242,241,241,242,242,1,1,0,0
12081,Ncoa1,32,16,4,2,61,31,4,1,242,149,195,234,239,-29,-15,0,1
12861,Olfr1084,0,0,0,0,2,2,0,0,242,240,240,242,242,-2,-2,0,0
12860,Olfr1082,4,4,0,0,2,2,0,0,242,236,236,242,242,2,2,0,0
12088,Ncor1,28,17,6,3,44,17,6,1,242,170,208,230,238,-16,0,0,2
12089,Ncor2,56,34,2,2,46,18,2,2,242,140,190,238,238,10,16,0,0
12859,Olfr1080,4,3,0,0,0,0,0,0,242,238,239,242,242,4,3,0,0
15944,Rapgef4,29,16,1,0,61,34,1,0,242,152,192,240,242,-32,-18,0,0
12101,Ndor1,42,16,4,3,46,22,4,2,242,154,204,234,237,-4,-6,0,1
12836,Olfr1045,1,0,0,0,1,1,0,0,242,240,241,242,242,0,-1,0,0
12858,Olfr108,2,2,0,0,5,4,0,0,242,235,236,242,242,-3,-2,0,0
12856,Olfr1076,0,0,0,0,0,0,0,0,242,242,242,242,242,0,0,0,0
12854,Olfr1066,1,1,0,0,0,0,0,0,242,241,241,242,242,1,1,0,0
12850,Olfr106-ps,1,1,0,0,5,1,0,0,242,236,240,242,242,-4,0,0,0
12849,Olfr1058,0,0,0,0,2,2,0,0,242,240,240,242,242,-2,-2,0,0
12111,Ndufa1,50,28,10,4,36,24,10,6,242,156,190,222,232,14,4,0,-2
12848,Olfr1057,10,5,0,0,17,4,0,0,242,215,233,242,242,-7,1,0,0
12847,Olfr1056,4,1,0,0,4,3,0,0,242,234,238,242,242,0,-2,0,0
